time,seconds_elapsed,dBFS
1687527204304000000,0.048,-160.0
1687527204422000000,0.166000244140625,-160.0
1687527204540000000,0.284,-160.0
1687527204656000000,0.4,-160.0
1687527204774000000,0.518000244140625,-141.0
1687527204894000000,0.638000244140625,-44.0
1687527205010000000,0.753999755859375,-70.0
1687527205127000000,0.871,-108.0
1687527205242000000,0.985999755859375,-11.0
1687527205360000000,1.104,-53.0
1687527205479000000,1.223,-94.0
1687527205595000000,1.339,-24.0
1687527205715000000,1.459,-67.0
1687527205830000000,1.574000244140625,-111.0
1687527205950000000,1.694000244140625,-9.0
1687527206065000000,1.809,-80.0
1687527206180000000,1.924,-113.0
1687527206301000000,2.045,-24.0
1687527206413000000,2.157,-77.0
1687527206532000000,2.276,-115.0
1687527206651000000,2.395,-17.0
1687527206769000000,2.513,-78.0
1687527206883000000,2.627,-113.0
1687527207001000000,2.745,-6.0
1687527207118000000,2.862000244140625,-70.0
1687527207234000000,2.977999755859375,-115.0
1687527207352000000,3.096,-37.0
1687527207470000000,3.214000244140625,-91.0
1687527207589000000,3.333,-117.0
1687527207704000000,3.448,-34.0
1687527207821000000,3.565,-86.0
1687527207937000000,3.681,-110.0
1687527208054000000,3.798000244140625,-31.0
1687527208172000000,3.916,-85.0
1687527208292000000,4.036,-111.0
1687527208409000000,4.153,-41.0
1687527208527000000,4.271,-95.0
1687527208641000000,4.385,-117.0
1687527208756000000,4.5,-72.0
1687527208874000000,4.617999755859375,-109.0
1687527208991000000,4.735,-115.0
1687527209109000000,4.853,-31.0
1687527209227000000,4.971,-94.0
1687527209345000000,5.089,-116.0
1687527209458000000,5.201999755859375,-20.0
1687527209576000000,5.32,-91.0
1687527209692000000,5.436,-119.0
1687527209814000000,5.558000244140625,-11.0
1687527209928000000,5.672,-72.0
1687527210046000000,5.790000244140625,-19.0
1687527210161000000,5.905,-30.0
1687527210279000000,6.023,-94.0
1687527210395000000,6.139,-117.0
1687527210512000000,6.256,-25.0
1687527210630000000,6.374000244140625,-91.0
1687527210748000000,6.492,-22.0
